setup,rag,deepseek-provider,total_time,total_cost,total_cost (US),chatgpt-provider
6.32,3.52,3.91,13.76,,,
5.6,3.58,3.33,12.51,,,
6.11,3.35,9.48,18.94,0.0,,
5.85,2.84,15.14,23.83,0.0,,
5.71,3.0,11.28,20.0,0.00359,,
5.01,3.75,12.33,21.1,,0.003392,
4.78,2.91,4.76,12.45,,0.002842,
5.11,2.6,8.19,15.9,,0.003168,
10.21,4.55,17.83,32.6,,0.002746,
6.77,4.86,16.15,27.77,,0.00313,
6.2,3.5,13.93,23.62,,0.003328,
5.93,5.36,38.12,49.41,,0.004132,
6.64,4.89,,55.72,,0.0,44.19
5.91,5.65,14.05,25.61,,0.003342,
7.38,4.06,27.78,39.23,,0.003812,
6.25,3.59,3.48,13.32,,0.0,
6.93,3.85,,53.98,,0.011242,43.2
